2026-04-14T16:14:36.3740427Z|SENSOR_01|165
2026-04-15T17:30:59.2122512Z|sensor-01|12
2026-04-15T17:31:04.1857718Z|sensor-01|2
2026-04-15T17:31:04.6068680Z|sensor-01|22
2026-04-15T17:31:04.9697107Z|sensor-01|2
2026-04-15T17:31:05.2112078Z|sensor-01|2
2026-04-15T17:31:05.8587432Z|sensor-01|2
2026-04-17T14:39:08.9517618Z|sensor-03|26
2026-04-17T14:42:16.7928278Z|sensor-03|25
2026-04-17T14:43:02.2044192Z|sensor-02|27
2026-04-17T15:03:51.3723435Z|sensor-03|16
2026-04-17T15:20:41.0991274Z|sensor-03|14
2026-04-19T15:06:30.2446246Z|sensor-03|27
